Symbol ID,Allow Short
Cash conversion / EXANTE / AUD/CAD,Yes
Cash conversion / EXANTE / AUD/CHF,Yes
Cash conversion / EXANTE / AUD/JPY,Yes
Cash conversion / EXANTE / AUD/NZD,Yes
Cash conversion / EXANTE / AUD/USD,Yes
Cash conversion / EXANTE / CAD/CHF,Yes
Cash conversion / EXANTE / CAD/JPY,Yes
Cash conversion / EXANTE / CHF/JPY,Yes
Cash conversion / EXANTE / EUR/AUD,Yes
Cash conversion / EXANTE / EUR/CAD,Yes
Cash conversion / EXANTE / EUR/CHF,Yes
Cash conversion / EXANTE / EUR/CZK,Yes
Cash conversion / EXANTE / EUR/DKK,Yes
Cash conversion / EXANTE / EUR/GBP,Yes
Cash conversion / EXANTE / EUR/HKD,Yes
Cash conversion / EXANTE / EUR/HUF,Yes
Cash conversion / EXANTE / EUR/JPY,Yes
Cash conversion / EXANTE / EUR/NOK,Yes
Cash conversion / EXANTE / EUR/NZD,Yes
Cash conversion / EXANTE / EUR/PLN,Yes
Cash conversion / EXANTE / EUR/RUB,Yes
Cash conversion / EXANTE / EUR/SEK,Yes
Cash conversion / EXANTE / EUR/TRY,Yes
Cash conversion / EXANTE / EUR/USD,Yes
Cash conversion / EXANTE / EUR/ZAR,Yes
Cash conversion / EXANTE / GBP/AUD,Yes
Cash conversion / EXANTE / GBP/CAD,Yes
Cash conversion / EXANTE / GBP/CHF,Yes
Cash conversion / EXANTE / GBP/HKD,Yes
Cash conversion / EXANTE / GBP/JPY,Yes
Cash conversion / EXANTE / GBP/NZD,Yes
Cash conversion / EXANTE / GBP/SEK,Yes
Cash conversion / EXANTE / GBP/USD,Yes
Cash conversion / EXANTE / NOK/SEK,Yes
Cash conversion / EXANTE / NZD/CAD,Yes
Cash conversion / EXANTE / NZD/CHF,Yes
Cash conversion / EXANTE / NZD/JPY,Yes
Cash conversion / EXANTE / NZD/USD,Yes
Cash conversion / EXANTE / USD/CAD,Yes
Cash conversion / EXANTE / USD/CHF,Yes
Cash conversion / EXANTE / USD/CNH,Yes
Cash conversion / EXANTE / USD/CZK,Yes
Cash conversion / EXANTE / USD/HKD,Yes
Cash conversion / EXANTE / USD/HUF,Yes
Cash conversion / EXANTE / USD/JPY,Yes
Cash conversion / EXANTE / USD/MXN,Yes
Cash conversion / EXANTE / USD/NOK,Yes
Cash conversion / EXANTE / USD/PLN,Yes
Cash conversion / EXANTE / USD/RUB,Yes
Cash conversion / EXANTE / USD/SEK,Yes
Cash conversion / EXANTE / USD/SGD,Yes
Cash conversion / EXANTE / USD/THB,Yes
Cash conversion / EXANTE / USD/TRY,Yes
Cash conversion / EXANTE / USD/ZAR,Yes
Forex / E / AUD/CAD,Yes
Forex / E / AUD/CHF,Yes
Forex / E / AUD/JPY,Yes
Forex / E / AUD/NZD,Yes
Forex / E / AUD/USD,Yes
Forex / E / CAD/CHF,Yes
Forex / E / CAD/JPY,Yes
Forex / E / CHF/JPY,Yes
Forex / E / EUR/AUD,Yes
Forex / E / EUR/CAD,Yes
Forex / E / EUR/CHF,Yes
Forex / E / EUR/CZK,Yes
Forex / E / EUR/DKK,Yes
Forex / E / EUR/GBP,Yes
Forex / E / EUR/HKD,Yes
Forex / E / EUR/HUF,Yes
Forex / E / EUR/JPY,Yes
Forex / E / EUR/MXN,Yes
Forex / E / EUR/NOK,Yes
Forex / E / EUR/NZD,Yes
Forex / E / EUR/PLN,Yes
Forex / E / EUR/RUB,Yes
Forex / E / EUR/SEK,Yes
Forex / E / EUR/SGD,Yes
Forex / E / EUR/TRY,Yes
Forex / E / EUR/USD,Yes
Forex / E / EUR/ZAR,Yes
Forex / E / GBP/AUD,Yes
Forex / E / GBP/CAD,Yes
Forex / E / GBP/CHF,Yes
Forex / E / GBP/DKK,Yes
Forex / E / GBP/JPY,Yes
Forex / E / GBP/NZD,Yes
